"Story","Title","Result","Date","Stability","Duration (s)"
"Products test","Get all products","SUCCESS","2022-06-07T13:12:46.235-07:00[America/Phoenix]","0.0","6.38"
"Products test","This will create a new product","SUCCESS","2022-06-07T13:12:52.674-07:00[America/Phoenix]","0.0","1.52"
"Products test","Test002","SUCCESS","2022-06-07T13:12:54.198-07:00[America/Phoenix]","0.0","0.07"
"Products test","Update the product information and verify updated information","SUCCESS","2022-06-07T13:12:54.266-07:00[America/Phoenix]","0.0","0.09"
"Products test","Delete the product information and verify updated information","SUCCESS","2022-06-07T13:12:54.361-07:00[America/Phoenix]","0.0","0.07"
"Service test","This will craete a new services","SUCCESS","2022-06-07T13:12:56.475-07:00[America/Phoenix]","0.0","0.09"
"Service test","getting service information from id","SUCCESS","2022-06-07T13:12:56.561-07:00[America/Phoenix]","0.0","0.04"
"Service test","Update services by ID","SUCCESS","2022-06-07T13:12:56.598-07:00[America/Phoenix]","0.0","0.1"
"Service test","Delete the service information and verify updated information","SUCCESS","2022-06-07T13:12:56.702-07:00[America/Phoenix]","0.0","0.12"
"Service test","Total","SUCCESS","2022-06-07T13:12:56.823-07:00[America/Phoenix]","0.0","0.03"
"Store test","This will create a new store","SUCCESS","2022-06-07T13:12:57.018-07:00[America/Phoenix]","0.0","0.17"
"Store test","Test002","SUCCESS","2022-06-07T13:12:57.193-07:00[America/Phoenix]","0.0","0.08"
"Store test","Test003","SUCCESS","2022-06-07T13:12:57.276-07:00[America/Phoenix]","0.0","0.02"
"Store test","Delete the store information and verify updated information","SUCCESS","2022-06-07T13:12:57.299-07:00[America/Phoenix]","0.0","0.12"
"Store test","Get all stores","SUCCESS","2022-06-07T13:12:57.421-07:00[America/Phoenix]","0.0","0.1"
"Health check test","Test001","SUCCESS","2022-06-07T13:12:57.867-07:00[America/Phoenix]","0.0","0.06"
"Version test","Test001","SUCCESS","2022-06-07T13:12:57.955-07:00[America/Phoenix]","0.0","0.01"
